MPA,status,rep,lat,lon,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
San Miguel Island SC,mpa,1,34.0301,-120.443,NaN,1864392,2730523,1104902,2179520,1029312,2501051,2125527,1136912,1687268,1603757,521186,336523,885107,2682881,1659758,1011686,2308730,1672037,3202515,3584955,3123877,748255,2222996,1747643,1535050,2524802,3018003,1119665,1290271,994761,2131785,2013330,2899755,1582181,1069326,1201177,496360
Harris Point SMR,mpa,1,34.053,-120.3424,NaN,780304,34329,0,48445,98380,233835,501446,NaN,588056,214550,3419,2076,9016,2895,34141,0,0,3828,257170,1513419,2762082,664963,1438473,326543,170040,475950,108640,109413,936249,367124,55156,17923,19166,4256,15154,6355,2452
Carrington Pt SMR,mpa,1,34.027,-120.0473,NaN,732905,346995,80807,106443,329318,204105,419621,63005,367836,893918,14982,75470,186627,753,108931,85161,12103,97851,362165,176965,506419,149499,920592,292873,57289,254025,134019,237070,484736,859617,285327,547077,547916,736867,417590,494878,474253
Skunk Pt SMR,mpa,1,33.9588,-119.9733,NaN,100375,34875,9613,40630,39919,55537,104489,NaN,31215,20005,14568,15406,22467,1369,33825,61776,14824,22774,76875,46644,46901,39628,110222,40990,24962,106366,90734,94949,159772,69533,82810,111170,161267,83094,97254,111097,138648
South Point SMR,mpa,1,33.9022,-120.1391,NaN,5617326,745057,1839909,1118521,908207,3935011,2675243,1576563,1386288,3821903,464860,539740,1407891,504000,4352305,563636,864896,1581439,3924667,2975671,2806693,776731,1305226,1935586,275833,2075655,691799,202923,1764270,284903,413204,1445509,1266162,516558,397174,2082758,867603
Gull Island SMR,mpa,1,33.9562,-119.8234,NaN,2188689,255123,575154,99197,246216,735459,2060747,1189458,841351,3699015,133430,164168,207449,150873,877705,218030,1090629,1153893,3840285,2693437,4484695,1935612,3661937,1551764,1188481,2428600,190022,320792,1094686,573635,686137,4687669,1380474,1609168,1758770,1154060,1361064
Santa Barbara Island SMR,mpa,1,33.4658,-119.0306,156939,733280,98277,258408,NaN,67363,11894,13061,90373,9881,878518,21357,11906,0,0,5420,1485,534,1369,1945,60171,38882,36431,23413,678,18046,440961,61949,425981,335450,159110,13338,176064,276609,632058,268127,297481,177350
Arrow Point to Lion Head Point SMCA,mpa,1,33.4649,-118.5221,0,0,0,0,3823,28817,635,0,3008,0,5191,0,4801,3508,0,1065,4309,12388,12042,34717,17302,1013,46500,15667,33228,8843,40114,52636,27997,26059,7853,0,299,341,0,1289,465,0
Farnsworth Onshore SMCA,mpa,1,33.3339,-118.473,NaN,NaN,NaN,NaN,NaN,NaN,137910,NaN,2386,NaN,32450,NaN,NaN,NaN,0,130672,110007,11211,NaN,107468,259476,72156,92471,30398,NaN,49688,86521,146749,NaN,42533,7563,0,4567,18199,16931,7619,26395,35907
Swamis SMCA,mpa,1,33.0212,-117.2936,11047,244093,836280,988070,4866,2396619,1474054,NaN,118978,48748,471705,64042,97512,101290,858,115467,385960,592494,1127724,283786,10700,96925,0,558179,962289,1950484,388001,706943,565131,1957784,2323178,393112,0,5828,24710,0,580,0
South La Jolla SMR,mpa,1,32.8121,-117.288,NaN,2869842,1636917,5457575,12155,7654920,NaN,469070,756013,219180,1343698,763894,1443531,418382,6093,2127420,2673912,2934823,4759623,1556504,906682,708721,188723,1086108,4100307,4504976,5311086,2534268,1811686,3951497,2197617,1424789,15282,130527,720827,1836911,806375,1270863
Cabrillo SMR,mpa,1,32.6628,-117.2464,NaN,1946,129589,451870,NaN,29123,NaN,NaN,24955,0,5464,0,5520,0,3197,61473,4116,7598,15474,6888,0,0,0,10153,0,7637,45287,44710,17389,0,3378,0,7438,1031,78175,24151,0,0
Point Conception SMR,mpa,1,34.447,-120.4308,NaN,1479372,583907,944366,512245,475232,2604385,1876168,1093798,1534254,2684820,756462,709370,1915788,70222,2458813,354708,308719,1520543,2196275,1091810,877239,861266,1105461,923315,1004133,1497210,540919,457280,1403682,677868,1875158,1411928,999743,3039730,901232,2194515,1827946
Naples SMCA,mpa,1,34.4321,-119.9514,NaN,1659316,171291,887024,667201,1211329,2100903,1779949,144081,289781,1935660,743416,197437,1616657,391,1335845,1192441,1631813,2630789,1115756,1960550,1641402,386371,2833916,856743,2090610,1189139,908294,1290242,1520124,725705,106069,52923,417384,2470558,799120,1654665,2569597
Campus Point SMCA,mpa,1,34.4049,-119.8651,NaN,3621709,669279,1134002,2422387,3192716,3616660,2286349,1153422,604096,3255827,882728,315600,2265450,73514,1685047,805072,1301879,2635610,1424762,1701836,1019932,469076,3971758,1303656,3451106,1612909,765575,1920612,2963368,1972053,322366,620110,1685866,4745086,2568104,2620639,3593224
Judith Rk SMR,mpa,1,34.0254,-120.4363,NaN,1971167,889458,671272,2720044,1187354,4504226,2696367,1531249,2097750,2557969,191137,148441,1077378,1991267,1451510,1166391,3293263,1624647,2371443,3301203,3757435,532984,2031075,2835075,1135982,2058251,2531006,322809,1814124,540806,2687675,1811871,1151036,643949,260294,134653,16363
Point Dume SMCA,mpa,1,34.0344,-118.872,NaN,1141549,273777,747710,223634,282881,381472,203861,417053,327823,414460,57962,160460,564806,430,152514,149656,350449,1071525,644758,493484,234251,19180,575246,620733,615908,790668,85798,441546,552785,320536,231872,168297,73524,1230074,177165,63261,182001
Point Dume SMR,mpa,1,34.0079,-118.7917,NaN,380517,174354,428135,234581,583597,83266,108763,84338,30567,41829,1802,105566,48518,0,2544,115178,308454,752045,218353,185470,95357,82290,201835,388302,773691,287655,194802,596768,884470,93559,145229,44373,4757,571588,41733,36528,30186
Abalone Cove SMCA,mpa,1,33.7392,-118.3857,62859,NaN,NaN,175438,95138,52705,6628,9385,5688,29539,149239,93804,15549,61275,4984,20510,2878,35710,52819,109612,25191,10963,13201,28659,127792,130308,174132,59210,2327,25891,27950,130903,204844,261719,240821,192079,316230,152633
Point Vicente SMCA,mpa,1,33.7403,-118.4087,602130,NaN,635811,173528,394973,NaN,53431,71320,2033,9044,14778,53898,8848,2033,1974,NaN,10869,4360,12562,48416,26095,35422,4290,3372,577836,299419,605312,517136,63695,326423,294931,694368,386991,686264,727405,463649,930886,400498
San Miguel Island SC,reference,1,34.0301,-120.443,NaN,1224122,311833,58935,2374803,4766824,7562559,9142864,2188788,7018213,2252148,764657,113606,440595,67392,759227,9170,25573,473062,6069285,17497662,20809769,908129,16651365,3026258,969485,1968381,2301525,244590,851234,1726188,1892021,385209,839218,173021,11457,10965,1179
Harris Point SMR,reference,1,34.053,-120.3424,NaN,1777255,429780,1411492,1658249,928254,3758308,3404315,2200505,2032279,2530806,10222,218509,664727,1729773,1521675,33966,1071987,1794525,4306872,2089841,2526534,565771,1628512,3341108,782318,2627302,332715,782404,2691251,105523,1843761,2204149,128012,57897,16210,94105,177760
Carrington Pt SMR,reference,1,34.027,-120.0473,NaN,202252,22833,4765,445794,1097970,1984013,828267,76778,508863,450210,14995,423,14050,24087,41534,115,9599,493788,2326756,1467913,1556386,8442,841234,16524,74176,279310,215117,263878,1028109,252047,74327,23216,6898,2368,106626,0,0
Skunk Pt SMR,reference,1,33.9588,-119.9733,NaN,74990,13540,21923,47942,44021,13849,0,65919,32693,11846,0,722,31618,0,8149,26761,3941,19636,14719,62224,8039,48613,73868,28081,49258,10041,7647,38617,248119,92799,23409,52269,9308,11620,25338,3433,92
South Point SMR,reference,1,33.9022,-120.1391,NaN,2524502,198645,796492,723443,1070912,2487203,1711949,693422,313465,2978651,49902,302057,687284,279830,1432912,15444,26232,157869,2378209,4027396,1620856,1258531,1059487,2722325,284790,1606212,846127,283239,1592986,176442,507408,173097,845186,666348,46653,553958,194918
