MPA,status,rep,lat,lon,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gull Island SMR,reference,1,33.9562,-119.8234,NaN,1750412,319870,257678,382167,196621,800620,194038,462698,272718,717994,221082,112051,361192,16023,1427443,517079,102335,566772,1282465,886975,554103,201051,945623,233292,275808,660558,372542,51249,447010,228256,65944,369747,195251,684848,124085,320788,160849
Santa Barbara Island SMR,reference,1,33.4658,-119.0306,288479,401675,615781,1062519,431683,563464,83081,299544,196183,164143,1311267,185501,32942,40636,6111,580278,116183,85643,46969,580549,292316,622215,200472,235432,52280,46744,169210,112997,20177,225837,28221,52499,371948,900219,224458,288484,169509,342131
Arrow Point to Lion Head Point SMCA,reference,1,33.4649,-118.5221,0,1328,3649,6135,2209,6499,5124,5659,9120,858,0,1386,7929,5259,781,3104,1648,3807,10008,6238,4346,3247,46982,18537,21200,1711,47461,7439,2562,16309,8050,192,257,1111,521,1681,339,416
Farnsworth Onshore SMCA,reference,1,33.3339,-118.473,0,0,0,3455,0,7345,5223,0,0,0,0,899,3415,9246,0,3984,18081,64781,28259,21388,102076,42306,11343,6120,2980,4095,9653,1334,1563,0,0,0,195,885,7170,0,1283,3963
Swamis SMCA,reference,1,33.0212,-117.2936,0,40485,186368,499574,0,422854,294415,NaN,88137,2209,0,54256,26689,51983,0,24832,68725,129268,155915,100593,6669,58470,7477,154265,97048,229885,59574,200225,37274,111701,71561,109218,0,657,6935,0,190,593
South La Jolla SMR,reference,1,32.8121,-117.288,NaN,61230,107778,1122835,58442,5381300,NaN,NaN,54855,13286,1053503,393813,165230,67364,751,105120,31193,164543,2822682,1418834,509211,409441,202166,1379675,2836858,2492076,1364342,105466,28065,2817021,1917234,1788352,154,4024,70070,199345,51321,568
Cabrillo SMR,reference,1,32.6628,-117.2464,NaN,375688,1773238,3575390,NaN,3720915,NaN,NaN,99205,164718,9926362,2557068,1177345,489124,1713,2227672,1464752,3462262,4413981,2977531,549976,725293,512699,2212009,5222193,5974310,2205740,2208151,582772,5259795,2495813,4231072,8416,231103,1605230,2165404,904605,283802
Point Conception SMR,reference,1,34.447,-120.4308,NaN,2665053,476722,653416,1152762,913063,6212820,4218866,1167207,2355661,2226015,640187,206657,1722184,45588,631553,137562,24089,646975,2155583,4097975,3191933,2642748,2931975,1527590,1377334,3713733,746397,1270041,2723291,386816,2190607,970278,723573,1859518,626003,1386443,1499768
Naples SMCA,reference,1,34.4321,-119.9514,NaN,106419,93115,373006,181400,342404,584953,460707,246608,139604,499781,102568,4586,263951,7601,156594,30450,127020,549876,210498,301967,151114,43315,571796,46593,458133,217687,35160,128310,461784,102492,26856,15716,36242,555199,131179,330987,911803
Campus Point SMCA,reference,1,34.4049,-119.8651,NaN,108393,289067,670139,335268,396469,866623,741900,336780,233730,873426,169716,13664,494132,29955,242472,46636,411156,1121463,490136,657020,289324,135645,1040243,82575,853550,446226,86240,310312,718884,190396,61418,24206,78609,1068990,332538,662187,1474442
Judith Rk SMR,reference,1,34.0254,-120.4363,NaN,2902971,1729003,532886,2401667,3661248,7082480,9704098,4352706,8853016,6301414,1469490,307022,810005,998070,1724174,53839,277827,2449680,13513673,23033722,22214410,3997841,22885912,4914666,3219805,8061713,8488092,2083805,2564601,3179675,4645100,968326,2207724,1083361,238683,602221,290761
Point Dume SMCA,reference,1,34.0344,-118.872,NaN,1042316,168647,280011,127000,650768,289205,323429,235997,447532,320274,90214,132138,425517,10894,90862,80279,332768,879928,1020464,654703,363480,10001,551343,738884,799363,690353,187140,303058,642992,310714,255339,95208,155297,943066,193672,20528,273742
Point Dume SMR,reference,1,34.0079,-118.7917,NaN,300111,233556,208388,18862,321036,6899,69532,57494,336228,76210,68566,263320,462587,0,14290,83373,148759,433600,734725,540484,345572,96043,580341,776477,1062795,1110628,209961,454007,690697,371169,4997,26732,67991,300220,112965,0,47650
Abalone Cove SMCA,reference,1,33.7392,-118.3857,235570,114379,331810,160673,388528,163801,70098,45036,42756,58029,1155,15018,21997,72734,66713,285260,76323,82841,381860,177208,22976,241121,107470,201331,91792,80072,65469,135278,16112,47513,15590,76547,12436,69665,124472,17819,224579,78995
Point Vicente SMCA,reference,1,33.7403,-118.4087,416276,204400,712916,202709,876522,201649,34882,57985,31973,18383,45138,34316,21333,4562,855,37711,36583,40884,93945,59691,128270,18554,77397,48036,263595,151592,470988,311256,75539,184465,127442,477469,204034,507571,540852,182345,402424,315743
San Miguel Island SC,reference,2,34.0301,-120.443,NaN,1811034,1268328,1471143,1051001,679349,2465934,2406421,1893953,2302155,3335595,1577240,964643,1261525,2024647,1327915,1036825,825637,432466,2542061,2524435,2928585,1257682,1078246,3520554,1602082,2606473,2400970,1501625,3496849,1324137,1213478,1960548,1915114,726392,186499,27718,0
Harris Point SMR,reference,2,34.053,-120.3424,NaN,804637,457339,61564,789734,386996,113187,705793,NaN,1339705,364918,321987,36886,107092,20765,557748,7244,27241,95142,1881266,4228546,4047952,58935,3685061,524744,410992,945668,968636,98508,177521,697710,435665,178447,429640,22815,17035,18797,0
Carrington Pt SMR,reference,2,34.027,-120.0473,NaN,30799,49303,47645,24719,75627,42058,3227,1046,1487,13864,7057,19993,42094,0,154,0,1959,39983,27333,76923,84488,9769,21793,8440,15232,8094,14296,42905,82949,97585,0,8799,2358,8672,28535,0,5831
Skunk Pt SMR,reference,2,33.9588,-119.9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Point SMR,reference,2,33.9022,-120.1391,NaN,781291,35392,74302,28915,114199,188410,99555,66230,91207,522505,32884,296390,491582,99897,548747,5218,74240,410052,473141,134092,485819,287505,233460,50257,105498,326931,36989,104656,490109,53896,15298,22858,2903,47788,7450,16940,4480
Gull Island SMR,reference,2,33.9562,-119.8234,NaN,0,2439,53533,24326,NaN,7368,NaN,15700,NaN,99062,7803,23284,4272,0,2654,1963,13055,16804,7828,21865,16668,44346,62971,20224,81011,27247,8636,NaN,34812,15506,7149,1849,5739,77081,19265,22146,10590
Santa Barbara Island SMR,reference,2,33.4658,-119.0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrow Point to Lion Head Point SMCA,reference,2,33.4649,-118.5221,0,517,53062,1869,0,26029,70406,7321,21153,494,9589,46113,37686,12962,611,25936,24097,30914,30513,47847,14873,21741,23022,29707,25173,18893,45089,40177,6506,11351,260,0,2094,4194,1424,1683,1789,6436
Farnsworth Onshore SMCA,reference,2,33.3339,-118.473,NaN,NaN,NaN,NaN,NaN,NaN,256787,NaN,4137,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,284164,NaN,98456,152777,143569,129613,127219,155499,41045,108589,2632,0,11493,30529,194429,22368,66791,158418
Swamis SMCA,reference,2,33.0212,-117.2936,0,85692,180070,275100,0,690112,307468,NaN,449,13773,228248,6051,28839,52293,1669,104315,224493,223463,226516,45975,438,100083,0,211106,421373,564620,216678,266532,118053,465783,397168,96860,0,13375,252,0,0,288
South La Jolla SMR,reference,2,32.8121,-117.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabrillo SMR,reference,2,32.6628,-117.2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Conception SMR,reference,2,34.447,-120.4308,NaN,10972,0,736,0,0,52778,269145,93764,3105,636135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492,386264,714256,11081,0,111437,29003,545026,592082
Naples SMCA,reference,2,34.4321,-119.9514,NaN,23577,4066,17899,8332,45303,6726,1711,11981,18986,58900,58406,8468,43971,0,2451,16761,40144,81757,1196,1789,7952,1720,21773,16584,65855,1535,4855,4114,54284,16533,0,3493,16219,18496,599,1257,3033
Campus Point SMCA,reference,2,34.4049,-119.8651,NaN,45859,4113,42166,64025,253983,178539,79058,14706,12568,6294,0,0,101143,0,123009,31685,68301,163769,44369,10175,909,0,243148,9983,220688,4150,101889,113514,175338,10451,2290,1254,20584,128270,6294,53387,172116
Judith Rk SMR,reference,2,34.0254,-120.4363,NaN,1723594,1192638,1320719,895557,588110,2277239,2288819,1799178,2177141,3162978,1485634,901928,1202975,1877232,1261692,908881,729937,374412,2335047,2388825,2814661,1196326,1044263,3316588,1540664,2448683,2277969,1458360,3277413,1277245,1160055,1821048,1821230,619009,165180,27718,0
Point Dume SMCA,reference,2,34.0344,-118.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Dume SMR,reference,2,34.0079,-118.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abalone Cove SMCA,reference,2,33.7392,-118.3857,187946,77492,147622,59232,265229,74234,21920,8321,0,4846,46160,76544,0,0,0,1449,9652,37797,19185,0,3995,12202,25151,51489,166970,39827,143507,51477,1085,39516,40919,182906,12201,61942,135952,11788,21332,47213
Point Vicente SMCA,reference,2,33.7403,-118.4087,3917,NaN,NaN,24974,25702,6653,0,286,0,693,0,2163,7475,0,0,2531,3277,3619,7840,8265,0,1070,3326,7271,7423,5047,14413,7096,0,12233,2087,9891,12648,19113,41037,16308,58130,16075
