"CA_MPA_Name_Short","year","y","lnDiff","mpa","reference","Diff","resp","time","type","Location","Hectares","source","BA"
"Campus Point SMCA",2015,"Strongylocentrotus purpuratus",0.312169704002181,0.108747993579454,0.0795880149812734,1.36638655462185,"Den",3,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2016,"Mesocentrotus franciscanus",-0.635988766719997,0.0204081632653061,0.0385487528344671,0.529411764705882,"Den",4,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2016,"Strongylocentrotus purpuratus",0.843818083061164,0.102327447833066,0.0440074906367041,2.32522796352584,"Den",4,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2017,"Mesocentrotus franciscanus",-0.635988766719997,0.0204081632653061,0.0385487528344671,0.529411764705882,"Den",5,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2017,"Strongylocentrotus purpuratus",1.47881773001704,0.0862760834670947,0.0196629213483146,4.38775510204082,"Den",5,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2018,"Mesocentrotus franciscanus",-1.23676262714893,0.0204081632653061,0.0702947845804989,0.290322580645161,"Den",6,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2018,"Strongylocentrotus purpuratus",0.448267647342925,0.0718298555377207,0.0458801498127341,1.56559766763848,"Den",6,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2019,"Mesocentrotus franciscanus",-2.07944154167984,0.00680272108843537,0.054421768707483,0.125,"Den",7,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2019,"Strongylocentrotus purpuratus",-0.541488403342866,0.0670144462279293,0.115168539325843,0.581881533101045,"Den",7,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2020,"Mesocentrotus franciscanus",-2.07944154167984,0.00680272108843537,0.054421768707483,0.125,"Den",8,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2020,"Strongylocentrotus purpuratus",-0.538038187290875,0.0814606741573033,0.139513108614232,0.583892617449664,"Den",8,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2021,"Mesocentrotus franciscanus",-1.20397280432594,0.00680272108843537,0.0226757369614512,0.3,"Den",9,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2021,"Strongylocentrotus purpuratus",-0.881489225135483,0.0461476725521669,0.111423220973783,0.414165666266507,"Den",9,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2022,"Mesocentrotus franciscanus",-1.44036158239017,0.0204081632653061,0.0861678004535147,0.236842105263158,"Den",10,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2022,"Strongylocentrotus purpuratus",-0.832804853084637,0.0557784911717496,0.128277153558052,0.434827945776851,"Den",10,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2023,"Mesocentrotus franciscanus",-0.980829253011726,0.0204081632653061,0.054421768707483,0.375,"Den",11,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2023,"Strongylocentrotus purpuratus",-1.91649626384902,0.00922953451043338,0.0627340823970037,0.147121535181237,"Den",11,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2011,"Strongylocentrotus purpuratus",-0.0949884909711941,0.698318563200164,0.76790335384932,0.909383400527756,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2012,"Mesocentrotus franciscanus",1.16886635246375,1.00050375133982,0.310875512600508,3.21834210411264,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2012,"Strongylocentrotus purpuratus",0.303458817696692,1.00216648466342,0.739859721364744,1.35453580688894,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2013,"Mesocentrotus franciscanus",0.178963707255548,0.881948736420787,0.737429304334823,1.19597733808032,"Bio",1,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2013,"Strongylocentrotus purpuratus",-0.21959646251747,0.519422840758425,0.646979582007923,0.802842709728765,"Bio",1,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2014,"Mesocentrotus franciscanus",-1.14405159007485,0.131527827878174,0.412926676372714,0.318525867675973,"Bio",2,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2004,"Mesocentrotus franciscanus",-1.65727439418909,0.000503751339815261,0.00264217353766747,0.190657930916974,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2004,"Strongylocentrotus purpuratus",-2.64696250912237,0.00649945399025282,0.091714517418012,0.0708661417322835,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2008,"Strongylocentrotus purpuratus",-2.34775546442085,0.00807612408436288,0.0844929018732867,0.0955834621051905,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2009,"Mesocentrotus franciscanus",-5.35845852639155,0.000503751339815261,0.106995418988057,0.00470815801816234,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2009,"Strongylocentrotus purpuratus",-0.734603288613129,0.155986895766068,0.325178834448803,0.479695721987793,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2010,"Strongylocentrotus purpuratus",0.977730397107659,0.387800754751751,0.145876634003452,2.65841584158416,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2011,"Mesocentrotus franciscanus",-0.297371611294519,0.40326598305439,0.542923248670001,0.742767940113581,"Bio",0,"SMCA","ML",2734.933446,"LTER","Before"
"Campus Point SMCA",2018,"Mesocentrotus franciscanus",-2.51886827653083,0.0104276165873353,0.129454051604513,0.0805507163205065,"Bio",6,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2018,"Strongylocentrotus purpuratus",-0.218926991643331,0.169852955181117,0.211422834850046,0.803380369493139,"Bio",6,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2019,"Mesocentrotus franciscanus",-5.3540174682599,0.000503751339815261,0.106521299687453,0.00472911371991642,"Bio",7,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2019,"Strongylocentrotus purpuratus",0.0164980184385412,0.195499782697247,0.192300883979843,1.0166348622596,"Bio",7,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2020,"Mesocentrotus franciscanus",-4.82047196375925,0.000503751339815261,0.0624770605217259,0.00806298080621264,"Bio",8,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2020,"Strongylocentrotus purpuratus",-0.776907881385903,0.110063779275068,0.239359807544569,0.459825650781298,"Bio",8,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2014,"Strongylocentrotus purpuratus",0.214612507771503,0.502565389733732,0.40549690968151,1.23938155318733,"Bio",2,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2015,"Mesocentrotus franciscanus",-0.891867218259516,0.0551514669291037,0.134551975925414,0.409889684263541,"Bio",3,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2015,"Strongylocentrotus purpuratus",-0.52307221234513,0.138826381667128,0.23422830731959,0.592696857420005,"Bio",3,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2016,"Mesocentrotus franciscanus",-2.15522101316649,0.00151125401944578,0.0130418158068094,0.115877577312258,"Bio",4,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2016,"Strongylocentrotus purpuratus",0.91719415994332,0.176047027023393,0.0703552212077155,2.50225959070806,"Bio",4,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2017,"Mesocentrotus franciscanus",-1.45241508207262,0.00558929389430372,0.0238854155680351,0.234004465125725,"Bio",5,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2017,"Strongylocentrotus purpuratus",1.04774433138049,0.199342402809902,0.069914958989306,2.85121246857046,"Bio",5,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2022,"Mesocentrotus franciscanus",-1.43135922031756,0.0147709109599686,0.0618071461533425,0.238983869653555,"Bio",10,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2022,"Strongylocentrotus purpuratus",-1.17914306428643,0.0385183803904504,0.125245849838487,0.307542169581847,"Bio",10,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2021,"Mesocentrotus franciscanus",-3.01925156490217,0.000503751339815261,0.0103147927978381,0.0488377565781879,"Bio",9,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2021,"Strongylocentrotus purpuratus",-0.0532804153318596,0.112436863563784,0.118590011941353,0.948114109469752,"Bio",9,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2023,"Mesocentrotus franciscanus",-2.93741629175761,0.00459651658138152,0.0867226455011027,0.0530024949633608,"Bio",11,"SMCA","ML",2734.933446,"LTER","After"
"Campus Point SMCA",2023,"Strongylocentrotus purpuratus",-1.49237636160701,0.0166425378849994,0.0740202202497889,0.224837724460119,"Bio",11,"SMCA","ML",2734.933446,"LTER","After"
"Naples SMCA",2001,"Mesocentrotus franciscanus",1.66500776358891,0.699055330634278,0.13225371120108,5.28571428571429,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2001,"Strongylocentrotus purpuratus",1.19725697951182,0.543056743655546,0.164014827487881,3.31102225312935,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2003,"Mesocentrotus franciscanus",2.14539950947163,0.253711201079622,0.0296896086369771,8.54545454545455,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2003,"Strongylocentrotus purpuratus",3.23212105161822,0.0866837753065298,0.00342172797262618,25.3333333333333,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2002,"Mesocentrotus franciscanus",2.85699253582233,0.516869095816464,0.0296896086369771,17.4090909090909,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2002,"Strongylocentrotus purpuratus",3.29534941778605,0.292415169660679,0.0108354719133162,26.9868421052632,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2020,"Mesocentrotus franciscanus",0.372404245847276,0.16059379217274,0.110661268556005,1.45121951219512,"Den",8,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2020,"Strongylocentrotus purpuratus",0.249917584919267,0.145708582834331,0.113487311092102,1.28391959798995,"Den",8,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2021,"Mesocentrotus franciscanus",0.266109587197653,0.144399460188934,0.110661268556005,1.30487804878049,"Den",9,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2021,"Strongylocentrotus purpuratus",0.21582517050653,0.135871114913031,0.109495295124038,1.24088541666667,"Den",9,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2022,"Mesocentrotus franciscanus",1.71297859137494,0.164642375168691,0.0296896086369771,5.54545454545454,"Den",10,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2022,"Strongylocentrotus purpuratus",0.553676646498461,0.191474194468206,0.110065583119475,1.73963730569948,"Den",10,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2023,"Mesocentrotus franciscanus",1.40780056634085,0.253711201079622,0.0620782726045884,4.08695652173913,"Den",11,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2023,"Strongylocentrotus purpuratus",0.951255113229249,0.240661534074708,0.0929569432563445,2.58895705521472,"Den",11,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2004,"Mesocentrotus franciscanus",4.14841178349238,0.512820512820513,0.00809716599190283,63.3333333333333,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2004,"Strongylocentrotus purpuratus",3.23006301425877,0.115340747077274,0.00456230396350157,25.28125,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2005,"Mesocentrotus franciscanus",2.85070650150373,0.233468286099865,0.0134952766531714,17.3,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2005,"Strongylocentrotus purpuratus",2.00372971994414,0.050755631593955,0.00684345594525235,7.41666666666667,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
