OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,CCR_Int,SHORTNAME,Acres,Hectares,Shape_Leng,Shape_Area
59,Vandenberg SMR,Section 632 (b) (95),32.90693926,CCSR,Vandenberg State Marine Reserve,SMR,95,Vandenberg,21060.52488,8522.892035,58461.31674,85228920.35
60,Kashtayit SMCA,Section 632 (b) (97),2.017466391,SCSR,Kashtayit State Marine Conservation Area,SMCA,97,Kashtayit,1291.183625,522.5234746,9483.967111,5225234.746
61,Goleta Slough SMCA,Section 632 (b) (100),0.158005032,SCSR,Goleta Slough State Marine Conservation Area,SMCA (No-Take),100,Goleta Slough,101.1236229,40.92327828,12623.55034,409232.7828
62,Richardson Rock SMR,Section 632 (b) (101),40.74868812,SCSR,Richardson Rock State Marine Reserve,SMR,101,Richardson Rock,26079.26411,10553.90374,39710.83035,105539037.4
63,San Miguel Island Special Closure,Section 632 (b) (102),0.864547939,SCSR,San Miguel Island Special Closure,Special Closure,102,San Miguel Island Special Closure,553.3128814,223.9177788,16003.88455,2239177.788
64,Harris Point SMR,Section 632 (b) (103),25.3972158,SCSR,Harris Point State Marine Reserve,SMR,103,Harris Point,16254.28275,6577.874855,44447.18434,65778748.55
65,Carrington Point SMR,Section 632 (b) (105),12.77991893,SCSR,Carrington Point State Marine Reserve,SMR,105,Carrington Point,8179.180645,3309.996972,31631.77099,33099969.72
66,Skunk Point SMR,Section 632 (b) (106),1.466828973,SCSR,Skunk Point State Marine Reserve,SMR,106,Skunk Point,938.7742757,379.9084707,9819.277634,3799084.707
67,South Point SMR,Section 632 (b) (107),13.0772612,SCSR,South Point State Marine Reserve,SMR,107,South Point,8369.480455,3387.008573,25859.98131,33870085.73
68,Painted Cave SMCA,Section 632 (b) (108),1.784669674,SCSR,Painted Cave State Marine Conservation Area,SMCA,108,Painted Cave,1142.193134,462.229162,11441.64415,4622291.62
69,Gull Island SMR,Section 632 (b) (109),19.93167546,SCSR,Gull Island State Marine Reserve,SMR,109,Gull Island,12756.32302,5162.300775,28571.95287,51623007.75
70,Scorpion SMR,Section 632 (b) (110),9.63599763,SCSR,Scorpion State Marine Reserve,SMR,110,Scorpion,6167.063008,2495.721854,23659.07055,24957218.54
71,Anacapa Island Special Closure,Section 632 (b) (111),1.026217892,SCSR,Anacapa Island Special Closure,Special Closure,111,Anacapa Island Special Closure,656.7820628,265.7902709,41173.06954,2657902.709
72,Anacapa Island SMCA,Section 632 (b) (112),7.30173979,SCSR,Anacapa Island State Marine Conservation Area,SMCA,112,Anacapa Island,4673.132049,1891.149445,19952.19009,18911494.45
73,Anacapa Island SMR,Section 632 (b) (113),11.54559417,SCSR,Anacapa Island State Marine Reserve,SMR,113,Anacapa Island,7389.209657,2990.307056,24872.75378,29903070.56
74,Footprint SMR,Section 632 (b) (114),7.054430237,SCSR,Footprint State Marine Reserve,SMR,114,Footprint,4514.853306,1827.09631,24674.07887,18270963.1
75,Begg Rock SMR,Section 632 (b) (115),37.96253171,SCSR,Begg Rock State Marine Reserve,SMR,115,Begg Rock,24296.11691,9832.289678,35151.11327,98322896.78
76,Santa Barbara Island SMR,Section 632 (b) (116),12.76920122,SCSR,Santa Barbara Island State Marine Reserve,SMR,116,Santa Barbara Island,8172.32128,3307.221086,23465.6377,33072210.86
77,Arrow Point to Lion Head Point SMCA,Section 632 (b) (123),0.65108345,SCSR,Arrow Point to Lion Head Point State Marine Conservation Area,SMCA,123,Arrow Point to Lion Head Point,416.6950654,168.6305101,12103.32321,1686305.102
78,Blue Cavern Onshore SMCA,Section 632 (b) (124),2.614145889,SCSR,Blue Cavern Onshore State Marine Conservation Area,SMCA (No-Take),124,Blue Cavern Onshore,1673.060023,677.0633697,13690.47026,6770633.697
