site_id,geolocation,data_source,Lat,Lon,status,CA_MPA_Name_Short,ChannelIsland,MPA_Start
a-k-27,Potato Pasture,kfm,34.05223333,-119.5825333,mpa,Scorpion SMR,Santa Cruz,2003
a-k-28,Cavern Point,kfm,34.05428333,-119.56685,mpa,Scorpion SMR,Santa Cruz,2003
a-k-29,Little Scorpion,kfm,34.04415,-119.54245,reference,Scorpion SMR,Santa Cruz,2003
a-k-30,Pedro Reef,kfm,34.03836667,-119.5253,reference,Scorpion SMR,Santa Cruz,2003
a-k-31,Keyhole,kfm,34.01641667,-119.4320167,mpa,Anacapa Island SMCA,Anacapa,2003
a-k-32,East Fish Camp,kfm,34.0045,-119.3857833,reference,Anacapa Island SMCA,Anacapa,2003
a-k-32,East Fish Camp,kfm,34.0045,-119.3857833,reference,Anacapa Island SMR 2003,Anacapa,2003
a-k-32,East Fish Camp,kfm,34.0045,-119.3857833,reference,Anacapa Island SMR 1978,Anacapa,1978
a-k-33,Black Seabass Reef,kfm,34.0126,-119.3891833,mpa,Anacapa Island SMR 2003,Anacapa,2003
a-k-34,Lighthouse,kfm,34.0141,-119.3590167,reference,Anacapa Island SMCA,Anacapa,2003
a-k-34,Lighthouse,kfm,34.0141,-119.3590167,reference,Anacapa Island SMR 2003,Anacapa,2003
a-k-34,Lighthouse,kfm,34.0141,-119.3590167,reference,Anacapa Island SMR 1978,Anacapa,1978
a-k-35,Webster's Arch,kfm,33.48003333,-119.0621167,reference,Santa Barbara Island SMR,Santa Barbara,2003
a-k-36,Graveyard Canyon,kfm,33.47306667,-119.02685,mpa,Santa Barbara Island SMR,Santa Barbara,2003
a-k-37,South East Reef,kfm,33.46293333,-119.0312667,mpa,Santa Barbara Island SMR,Santa Barbara,2003
a-l-01,mainland,lter,34.400275,-119.7445917,reference,Campus Point SMCA,,2012
a-l-02,mainland,lter,34.47181667,-120.1426167,reference,Naples SMCA,,2012
a-l-03,mainland,lter,34.46782143,-120.1192428,reference,Naples SMCA,,2012
a-l-04,mainland,lter,34.45849992,-120.3334874,reference,Point Conception SMR,,2012
a-l-05,mainland,lter,34.39167778,-119.54175,reference,,,2012
a-l-06,mainland,lter,34.41371667,-119.8221,reference,Campus Point SMCA,,2012
a-l-07,mainland,lter,34.40469558,-119.8644769,mpa,Campus Point SMCA,,2012
a-l-08,mainland,lter,34.39410555,-119.7296222,reference,Campus Point SMCA,,2012
a-l-09,mainland,lter,34.42210741,-119.9517074,mpa,Naples SMCA,,2012
a-l-10,santa_cruz_island,lter,34.0588,-119.7575,reference,Painted Cave SMCA,Santa Cruz,2003
a-l-11,santa_cruz_island,lter,34.0445,-119.7155,reference,Scorpion SMR,Santa Cruz,2003
ABUR,mainland,lter,34.400275,-119.7445917,reference,Campus Point SMCA,,2012
AHND,mainland,lter,34.47181667,-120.1426167,reference,Naples SMCA,,2012
AQUE,mainland,lter,34.46782143,-120.1192428,reference,Naples SMCA,,2012
BULL,mainland,lter,34.45849992,-120.3334874,reference,Point Conception SMR,,2012
CARP,mainland,lter,34.39167778,-119.54175,reference,,,2012
GOLB,mainland,lter,34.41371667,-119.8221,reference,Campus Point SMCA,,2012
IVEE,mainland,lter,34.40469558,-119.8644769,mpa,Campus Point SMCA,,2012
MOHK,mainland,lter,34.39410555,-119.7296222,reference,Campus Point SMCA,,2012
NAPL,mainland,lter,34.42210741,-119.9517074,mpa,Naples SMCA,,2012
SCDI,santa_cruz_island,lter,34.0588,-119.7575,reference,Painted Cave SMCA,Santa Cruz,2003
SCTW,santa_cruz_island,lter,34.0445,-119.7155,reference,Scorpion SMR,Santa Cruz,2003
