site_id,geolocation,data_source,Lat,Lon,status,CA_MPA_Name_Short,ChannelIsland,MPA_Start
a-k-01,Wyckoff Ledge,kfm,34.02236667,-120.3874667,reference,Harris Point SMR,San Miguel,2003
a-k-02,Hare Rock,kfm,34.06438333,-120.3566,mpa,Harris Point SMR,San Miguel,2003
a-k-03,Johnson's Lee North,kfm,33.90146667,-120.1029667,reference,South Point SMR,Santa Rosa,2003
a-k-04,Johnson's Lee South,kfm,33.89753333,-120.10075,reference,South Point SMR,Santa Rosa,2003
a-k-05,Rodes Reef,kfm,34.03261667,-120.107,reference,Carrington Point SMR,Santa Rosa,2003
a-k-06,Gull Island,kfm,33.94966667,-119.8275833,mpa,Gull Island SMR,Santa Cruz,2003
a-k-07,Fry's Harbor,kfm,34.05635,-119.75515,reference,Painted Cave SMCA,Santa Cruz,2003
a-k-08,Pelican Bay,kfm,34.0345,-119.7033333,reference,Scorpion SMR,Santa Cruz,2003
a-k-09,Scorpion Anchorage,kfm,34.04798333,-119.5514,mpa,Scorpion SMR,Santa Cruz,2003
a-k-10,Yellow Banks,kfm,33.98983333,-119.5630667,reference,Gull Island SMR,Santa Cruz,2003
a-k-11,Admiral's Reef,kfm,34.00775,-119.4343833,reference,Anacapa Island SMCA,Anacapa,2003
a-k-11,Admiral's Reef,kfm,34.00775,-119.4343833,reference,Anacapa Island SMR 2003,Anacapa,2003
a-k-11,Admiral's Reef,kfm,34.00775,-119.4343833,reference,Anacapa Island SMR 1978,Anacapa,1978
a-k-12,Cathedral Cove,kfm,34.01586667,-119.3717333,mpa,Anacapa Island SMR 1978,Anacapa,1978
a-k-13,Landing Cove,kfm,34.01666667,-119.3616667,mpa,Anacapa Island SMR 1978,Anacapa,1978
a-k-14,Southeast Sea Lion,kfm,33.46611667,-119.0277833,mpa,Santa Barbara Island SMR,Santa Barbara,2003
a-k-15,Arch Point,kfm,33.48753333,-119.0275833,reference,Santa Barbara Island SMR,Santa Barbara,2003
a-k-16,Cat Canyon,kfm,33.46441667,-119.0391667,reference,Santa Barbara Island SMR,Santa Barbara,2003
a-k-17,san_clemente_island,kfm,33.03,-118.59,reference,,San Clemente,
a-k-18,san_clemente_island,kfm,33,-118.54,reference,,San Clemente,
a-k-19,san_clemente_island,kfm,32.91,-118.54,reference,,San Clemente,
a-k-20,san_clemente_island,kfm,32.8,-118.4,reference,,San Clemente,
a-k-21,Miracle Mile,kfm,34.0237,-120.3951667,reference,Harris Point SMR,San Miguel,2003
a-k-22,Cluster Point,kfm,33.92303333,-120.1873667,reference,South Point SMR,Santa Rosa,2003
a-k-23,Trancion Canyon,kfm,33.90855,-120.1555,mpa,South Point SMR,Santa Rosa,2003
a-k-24,Chickasaw,kfm,33.90036667,-120.1356333,mpa,South Point SMR,Santa Rosa,2003
a-k-25,South Point,kfm,33.89233333,-120.1195,mpa,South Point SMR,Santa Rosa,2003
a-k-26,Devil's Peak Member,kfm,34.04493333,-119.6014,reference,Scorpion SMR,Santa Cruz,2003
