source,taxon_name,resp,n_observations,n_MPAs,n_years,year_range,n_inside,n_outside
KFM,Macrocystis pyrifera,Bio,260,6,27,1996-2023,130,130
KFM,Macrocystis pyrifera,Den,260,6,27,1996-2023,130,130
KFM,Mesocentrotus franciscanus,Bio,286,5,37,1985-2022,143,143
KFM,Mesocentrotus franciscanus,Den,382,6,41,1982-2023,191,191
KFM,Panulirus interruptus,Den,376,6,40,1983-2023,188,188
KFM,Semicossyphus pulcher,Den,366,6,38,1985-2023,183,183
KFM,Strongylocentrotus purpuratus,Bio,286,5,37,1985-2022,143,143
KFM,Strongylocentrotus purpuratus,Den,382,6,41,1982-2023,191,191
LTER,Macrocystis pyrifera,Bio,92,2,23,2001-2023,46,46
LTER,Macrocystis pyrifera,Den,92,2,23,2001-2023,46,46
LTER,Mesocentrotus franciscanus,Bio,54,2,14,2009-2023,27,27
LTER,Mesocentrotus franciscanus,Den,92,2,23,2001-2023,46,46
LTER,Panulirus interruptus,Bio,48,2,12,2012-2023,24,24
LTER,Panulirus interruptus,Den,48,2,12,2012-2023,24,24
LTER,Semicossyphus pulcher,Bio,90,2,23,2001-2023,45,45
LTER,Semicossyphus pulcher,Den,90,2,23,2001-2023,45,45
LTER,Strongylocentrotus purpuratus,Bio,52,2,13,2011-2023,26,26
LTER,Strongylocentrotus purpuratus,Den,92,2,23,2001-2023,46,46
PISCO,Macrocystis pyrifera,Bio,296,10,20,2004-2023,148,148
PISCO,Macrocystis pyrifera,Den,296,10,20,2004-2023,148,148
PISCO,Mesocentrotus franciscanus,Bio,238,9,20,2004-2023,119,119
PISCO,Mesocentrotus franciscanus,Den,296,10,20,2004-2023,148,148
PISCO,Panulirus interruptus,Bio,62,3,13,2011-2023,31,31
PISCO,Panulirus interruptus,Den,296,10,20,2004-2023,148,148
PISCO,Semicossyphus pulcher,Bio,408,15,21,2003-2023,204,204
PISCO,Semicossyphus pulcher,Den,408,15,21,2003-2023,204,204
PISCO,Strongylocentrotus purpuratus,Bio,240,9,20,2004-2023,120,120
PISCO,Strongylocentrotus purpuratus,Den,296,10,20,2004-2023,148,148
