LTM_project,campus,survey_year,site,site_new,latitude,longitude,CA_MPA_Name_Short,site_designation,site_status,secondary_mpa,secondary_status,BaselineRegion,LongTermRegion,time_series_category,site_name_old 
LTM_Kelp,UCSB,,ANACAPA_ADMIRALS_CEN,ANACAPA_ADMIRALS,34.002883,-119.4252,Anacapa Island SMCA,SMCA,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_ADMIRALS_E,ANACAPA_ADMIRALS,34.003433,-119.418,Anacapa Island SMCA,SMCA,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_ADMIRALS_W,ANACAPA_ADMIRALS,34.00775,-119.434383,Anacapa Island SMCA,SMCA,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_BLACK_SEA_BASS,ANACAPA_BLACK_SEA_BASS,34.0126,-119.389183,Anacapa Island SMR 2003,SMR,mpa,,,SOUTH,South Coast,2,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP,ANACAPA_EAST_FISH_CAMP,34.001583,-119.398067,Anacapa Island SMR 1978,SMR,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP,ANACAPA_EAST_FISH_CAMP,34.001583,-119.398067,Anacapa Island SMR 2003,SMR,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP_CEN,ANACAPA_EAST_FISH_CAMP,34.001583,-119.398067,Anacapa Island SMR 2003,SMR,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP_E,ANACAPA_EAST_FISH_CAMP,34.0045,-119.385783,Anacapa Island SMR 2003,SMR,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP_W,ANACAPA_EAST_FISH_CAMP,34.003083,-119.404167,Anacapa Island SMR 2003,SMR,reference,,,SOUTH,South Coast,,
LTM_Kelp,UCSB,,ANACAPA_EAST_FISH_CAMP_CEN,ANACAPA_EAST_FISH_CAMP,34.001583,-119.398067,Anacapa Island SMR 1978,SMR,reference,,,SOUTH,South Coast,,
