"Source","Taxon","Size_Data_Source","Assumption"
"PISCO","Urchins (S. purpuratus, M. franciscanus)","Own (PISCO size-frequency, 25 mm filter applied)","None — native size data"
"PISCO","Lobster (P. interruptus, VRG only)","Own (PISCO VRG size-frequency, roving-diver protocol)","None — native size data"
"KFM","Urchins (S. purpuratus, M. franciscanus)","Cross-program (PISCO size-frequency pool, no 25 mm filter; KFM-internal size files not currently ingested)","Cross-program: assumes the PISCO size-frequency pool is representative of urchins counted by KFM at the same MPA/year. Reasonable because PISCO and KFM sample many overlapping or near-by sites in the Channel Islands, but a known cross-program assumption."
"KFM","Kelp (M. pyrifera)","Own (KFM per-plant stipe counts, KFM_Macrocystis_RawData)","None — native stipe count data"
"LTER","Urchins (S. purpuratus, M. franciscanus)","Cross-program (PISCO size-frequency pool, no 25 mm filter; LTER does not collect urchin sizes)","Cross-program: assumes the PISCO size-frequency pool is representative of urchins at LTER sites in the same MPA/year."
"LTER","Lobster (P. interruptus)","Own (LTER measures carapace length directly)","None — native size data"
